
,customer_id,age,gender,city,education,income,orders,total_spent,category,payment,discount,rating,website_visits,support_calls,last_purchase,membership,churn,spending_per_order,age_group,purchase_year,purchase_month
59,C198194,27.0,female,Chennai,Diploma,61512.0,6.0,1121.58,Grocery,Cash,16.0,5.0,18,4,2024-08-03,Silver,No,186.92999999999998,adult,2024,8
60,C196928,29.0,female,Mumbai,Master,50431.0,4.0,7423.45,Home,Wallet,19.5,5.0,14,0,2024-12-22,Platinum,No,1855.8625,adult,2024,12
61,C137778,41.0,male,Jaipur,Bachelor,36614.0,16.0,45022.105,Grocery,Debit Card,9.5,4.4,19,2,2024-02-23,Basic,No,2813.8815625,middle_aged,2024,2
62,C155980,40.0,female,Mumbai,Master,24235.0,13.0,33148.04,Electronics,Debit Card,8.9,3.0,19,3,2025-02-03,None,No,2549.849230769231,middle_aged,2025,2
63,C117600,32.0,female,Chennai,High School,31497.0,5.0,21540.38,Electronics,Cash,12.4,2.6,24,1,2026-04-23,Basic,No,4308.076,adult,2026,4
64,C104700,34.0,male,Mohali,Bachelor,19184.0,9.0,10130.93,Sports,Wallet,7.0,3.0,21,2,2024-12-17,Basic,No,1125.658888888889,adult,2024,12
65,C139376,28.0,male,Delhi,Bachelor,40612.0,10.0,23734.48,Books,Debit Card,12.5,3.8,14,3,2025-10-13,Silver,No,2373.448,adult,2025,10
66,C171330,18.0,female,Hyderabad,Bachelor,62452.0,10.0,20900.64,Books,Net Banking,19.4,2.5,20,4,2025-05-19,Silver,No,2090.064,young,2025,5
67,C176263,28.0,male,panipat,Bachelor,60280.0,10.0,45022.105,Books,Wallet,13.4,2.4,17,2,2026-01-23,Gold,No,4502.2105,adult,2026,1
68,C108410,33.0,female,Mohali,Master,43525.0,4.0,7759.71,Clothing,Cash,12.6,2.5,13,3,2026-04-07,Platinum,No,1939.9275,adult,2026,4
69,C175715,19.0,female,Hyderabad,Master,52281.0,17.0,45022.105,Grocery,Upi,5.2,4.1,21,4,2025-08-25,Basic,No,2648.359117647059,young,2025,8
70,C142167,40.0,female,Delhi,Bachelor,67456.0,12.0,27222.3,Books,Wallet,18.7,4.1,18,0,2025-07-17,Gold,No,2268.525,middle_aged,2025,7
71,C199093,42.0,female,Chandigarh,PhD,35474.0,12.0,44025.18,Home,Cash,6.5,3.9,21,2,2025-04-19,Basic,No,3668.765,middle_aged,2025,4
72,C177253,35.0,female,Mohali,PhD,51097.0,13.0,26237.02,Clothing,Credit Card,8.6,3.7,16,1,2024-06-06,Silver,No,2018.2323076923078,adult,2024,6
73,C110603,36.0,male,Chennai,Diploma,67711.0,10.0,20730.73,Electronics,Wallet,13.1,4.8,18,3,2025-02-06,Basic,No,2073.073,adult,2025,2
74,C184538,46.0,female,Delhi,Bachelor,94579.0,8.0,15763.02,Books,Net Banking,16.4,3.0,21,2,2025-12-31,Silver,Yes,1970.3775,middle_aged,2025,12
75,C172689,35.0,male,Chennai,Bachelor,39443.0,5.0,12390.39,Beauty,Cash,21.1,4.5,17,3,2026-06-10,Silver,No,2478.078,adult,2026,6
76,C163232,26.0,male,Pune,Master,19660.0,5.0,15220.27,Clothing,Credit Card,16.7,3.6,12,2,2025-06-01,Gold,No,3044.054,adult,2025,6
77,C183820,27.0,female,Mohali,High School,58418.0,11.0,23226.56,Books,Debit Card,19.7,2.6,19,0,2024-02-24,Platinum,No,2111.5054545454545,adult,2024,2
78,C134452,48.0,female,Delhi,High School,53907.0,12.0,31736.86,Electronics,Net Banking,7.6,5.0,17,1,2024-11-12,Silver,No,2644.7383333333332,middle_aged,2024,11
79,C164253,47.0,male,Kolkata,Diploma,0.0,9.0,30496.98,Clothing,Net Banking,3.3,4.2,22,1,2024-02-02,Silver,No,3388.5533333333333,middle_aged,2024,2
80,C128581,34.0,female,Kolkata,Bachelor,34361.0,10.0,37274.59,Books,Credit Card,18.9,3.3,20,1,2024-06-14,Silver,No,3727.459,adult,2024,6
81,C107078,30.0,female,Chennai,Bachelor,59769.0,3.0,5682.98,Home,Credit Card,12.9,2.1,15,2,2024-05-06,Gold,No,1894.3266666666666,adult,2024,5
82,C165236,60.0,male,Mohali,Diploma,21463.0,7.0,16701.22,Electronics,Upi,23.0,3.2,14,2,2026-02-02,Basic,No,2385.8885714285716,middle_aged,2026,2
83,C182182,51.0,female,Bangalore,Bachelor,42135.0,10.0,28535.38,Books,Wallet,8.8,4.9,19,4,2024-12-14,Basic,Yes,2853.538,middle_aged,2024,12
84,C167755,45.0,male,Mumbai,Bachelor,30836.0,4.0,6908.13,Clothing,Net Banking,17.7,2.7,27,1,2024-06-07,Gold,Yes,1727.0325,middle_aged,2024,6
85,C116679,53.0,male,Jaipur,Master,46978.0,8.0,21222.39,Grocery,Net Banking,16.6,3.2,30,1,2024-09-25,Gold,No,2652.79875,middle_aged,2024,9
86,C111857,45.0,female,Kolkata,PhD,40651.0,3.0,12987.11,Electronics,Upi,12.9,2.2,24,3,2026-04-07,Gold,No,4329.036666666667,middle_aged,2026,4
87,C138194,35.0,male,Jaipur,Bachelor,11132.0,6.0,15633.94,Grocery,Cash,16.4,3.0,21,0,2025-04-07,Gold,No,2605.6566666666668,adult,2025,4
88,C127457,31.0,female,Pune,Master,62545.0,8.0,16127.97,Grocery,Credit Card,2.8,2.5,19,1,2026-05-23,Gold,No,2015.99625,adult,2026,5
89,C158251,26.0,male,Pune,PhD,16166.0,6.0,8460.41,Books,Cash,9.4,2.9,16,4,2024-10-31,Silver,No,1410.0683333333334,adult,2024,10
90,C187558,44.0,male,Delhi,High School,37422.0,10.0,15682.05,Home,Cash,12.1,4.6,19,3,2026-02-02,Gold,No,1568.205,middle_aged,2026,2
91,C118343,35.0,female,Bangalore,Master,61162.0,14.0,34091.81,Beauty,Cash,5.0,2.8,20,1,2024-03-14,Basic,Yes,2435.1292857142857,adult,2024,3
92,C147034,57.0,female,Chandigarh,Master,44847.0,13.0,27957.69,Beauty,Wallet,2.9,3.8,9,2,2025-02-15,Platinum,No,2150.591538461538,middle_aged,2025,2
93,C133151,43.0,male,Bangalore,High School,8000.0,2.0,4544.9,Clothing,Upi,10.9,3.9,20,2,2026-03-31,Basic,No,2272.45,middle_aged,2026,3
94,C171015,20.0,male,Hyderabad,Bachelor,9556.0,10.0,42760.49,Grocery,Wallet,8.1,3.5,21,1,2025-04-18,Basic,No,4276.049,young,2025,4
95,C195059,37.0,male,unknown,Bachelor,19046.0,4.0,17595.4,Sports,Cash,16.7,4.3,17,0,2025-03-28,Silver,No,4398.85,adult,2025,3
96,C114897,37.0,male,Chandigarh,Master,30499.0,11.0,36395.52,Grocery,Wallet,15.6,3.1,22,3,2025-02-09,Gold,No,3308.683636363636,adult,2025,2
97,C130375,40.0,female,Mumbai,Bachelor,19122.0,12.0,45022.105,Home,Wallet,15.2,3.5,17,0,2026-03-30,Basic,No,3751.8420833333334,middle_aged,2026,3
98,C101550,38.0,male,Mumbai,Bachelor,37808.0,9.0,28951.51,Electronics,Cash,15.5,4.5,23,4,2024-04-29,Silver,No,3216.834444444444,adult,2024,4
99,C196484,36.0,female,Bangalore,Bachelor,39959.0,6.0,12623.59,not_specified,Credit Card,12.6,5.0,16,3,2024-12-21,Basic,No,2103.931666666667,adult,2024,12
100,C114020,34.0,female,panipat,Bachelor,36359.0,9.0,21502.32,Sports,Credit Card,14.7,4.3,18,2,2024-01-30,Silver,No,2389.1466666666665,adult,2024,1
101,C116766,35.0,female,Chandigarh,High School,50889.0,7.0,17934.06,Sports,Wallet,22.6,5.0,18,4,2026-07-26,Silver,Yes,2562.0085714285715,adult,2026,7
102,C189323,31.0,female,Mumbai,Diploma,64102.0,10.0,15995.06,Clothing,Net Banking,15.0,4.0,17,2,2024-12-31,Gold,No,1599.5059999999999,adult,2024,12
103,C132913,51.0,male,Hyderabad,Master,60351.0,8.0,19003.95,Beauty,Cash,0.0,4.0,22,2,2025-05-25,Silver,No,2375.49375,middle_aged,2025,5
104,C151615,25.0,male,Bangalore,High School,8000.0,6.0,18315.38,Beauty,Credit Card,9.6,3.6856145474913977,13,2,2025-09-08,Silver,No,3052.5633333333335,adult,2025,9
105,C137883,32.0,female,unknown,Master,27185.0,3.0,0.0,Electronics,Upi,10.5,4.8,17,1,2024-03-01,Basic,No,0.0,adult,2024,3
106,C193578,34.0,male,Hyderabad,Master,34814.0,9.0,29233.36,Electronics,Wallet,13.5,4.1,17,1,2025-03-04,Basic,No,3248.1511111111113,adult,2025,3
107,C165084,41.0,male,Hyderabad,Bachelor,78642.0,11.0,45022.105,Electronics,Debit Card,21.8,1.1,19,2,2024-12-14,Basic,No,4092.918636363637,middle_aged,2024,12
108,C180779,35.0,male,Mumbai,Bachelor,73177.0,8.0,29437.05,Grocery,Wallet,3.9,2.8,18,2,2026-04-23,Basic,No,3679.63125,adult,2026,4
109,C168411,30.0,male,Hyderabad,Diploma,62250.0,10.0,30231.3,Clothing,Credit Card,12.9,3.3,20,0,2025-05-15,Gold,No,3023.13,adult,2025,5
110,C138252,38.0,female,Delhi,Master,57915.0,7.0,18872.14,Sports,Cash,10.9,3.5,9,0,2026-07-22,Silver,No,2696.02,adult,2026,7
111,C146552,33.0,male,Kolkata,PhD,61224.0,6.0,1942.82,Clothing,Cash,12.5,4.1,13,1,2026-03-02,Silver,Yes,323.80333333333334,adult,2026,3
112,C192688,42.0,female,Mumbai,High School,29657.0,5.0,14448.01,Books,Wallet,15.4,3.9,14,2,2026-07-18,Basic,No,2889.602,middle_aged,2026,7
113,C157012,34.0,female,Mumbai,Master,26084.0,8.0,17140.9,Electronics,Upi,6.2,2.6,22,4,2026-03-30,Basic,No,2142.6125,adult,2026,3
114,C140805,36.0,male,Chennai,Bachelor,41268.0,11.0,29564.57,Books,Debit Card,13.0,3.5,23,2,2025-09-04,Basic,No,2687.688181818182,adult,2025,9
115,C149637,26.0,male,Delhi,High School,52640.0,8.0,29753.01,Home,Net Banking,9.3,2.7,15,1,2024-06-11,Basic,No,3719.12625,adult,2024,6
116,C147608,35.0,male,Mohali,High School,34267.0,10.0,25657.09,Beauty,Wallet,8.4,4.3,22,3,2025-10-25,Basic,No,2565.709,adult,2025,10
117,C124053,48.0,female,panipat,Bachelor,36200.0,9.0,20637.99,Grocery,Credit Card,17.6,4.5,20,3,2024-07-05,Basic,No,2293.11,middle_aged,2024,7
118,C193993,42.0,female,Mumbai,High School,23765.0,9.0,21438.48,Sports,Debit Card,5.9,3.5,20,2,2024-10-23,Gold,No,2382.0533333333333,middle_aged,2024,10
119,C197113,33.0,male,Bangalore,Bachelor,22196.0,6.0,21610.35,Books,Upi,12.3,3.9,23,2,2025-10-04,Silver,No,3601.725,adult,2025,10
120,C139646,28.0,male,Jaipur,High School,23514.0,9.0,33911.06,Electronics,Net Banking,8.8,2.8,24,2,2024-11-15,Gold,No,3767.8955555555553,adult,2024,11
121,C158932,35.0,female,Mohali,Diploma,8508.0,9.0,15144.96,Grocery,Credit Card,20.1,2.1,14,2,2025-01-13,Basic,No,1682.7733333333333,adult,2025,1
122,C130063,43.0,female,Jaipur,High School,72111.0,9.0,13500.22,Electronics,Net Banking,9.6,2.8,19,2,2025-08-30,Silver,No,1500.0244444444443,middle_aged,2025,8
123,C156232,21.0,male,Bangalore,Bachelor,49238.0,6.0,17465.15,Beauty,Wallet,13.2,4.3,18,3,2025-03-19,Basic,No,2910.8583333333336,young,2025,3
124,C163391,37.0,male,panipat,PhD,51549.0,15.0,30546.66,Home,Wallet,0.8,4.1,25,0,2024-11-19,Basic,No,2036.444,adult,2024,11
125,C161329,24.0,female,Kolkata,Bachelor,57867.0,16.0,33141.99,Beauty,Net Banking,11.1,4.9,20,5,2025-07-18,Basic,No,2071.374375,young,2025,7
126,C184241,35.0,female,Mumbai,High School,61517.0,8.0,18311.09,Beauty,Wallet,16.7,3.6,14,2,2026-01-04,Gold,No,2288.88625,adult,2026,1
127,C120760,44.0,female,Chandigarh,Master,27819.0,7.0,23018.72,Sports,Credit Card,12.3,3.6,12,1,2025-01-16,Basic,No,3288.3885714285716,middle_aged,2025,1
128,C129245,38.0,male,Pune,Bachelor,63930.0,8.0,17718.19,Grocery,Cash,8.6,2.9,23,2,2026-04-18,Silver,No,2214.77375,adult,2026,4
129,C133932,33.0,male,Chennai,Master,61414.0,10.0,39115.21,Books,Wallet,4.4,2.4,30,1,2026-06-10,Silver,No,3911.5209999999997,adult,2026,6
130,C107778,22.0,female,Mumbai,PhD,39744.0,7.0,17071.07,Home,Wallet,16.3,4.4,20,2,2024-09-17,Basic,No,2438.7242857142855,young,2024,9
131,C186932,22.0,female,Jaipur,Diploma,46051.0,5.0,10704.23,Grocery,Net Banking,10.1,3.7,17,0,2026-02-10,Silver,No,2140.846,young,2026,2
132,C133178,30.0,female,Mohali,Master,37000.0,9.0,11805.18,Sports,Debit Card,2.5,5.0,13,3,2026-04-17,Silver,No,1311.6866666666667,adult,2026,4
133,C128264,40.0,female,Jaipur,Bachelor,50702.0,6.0,22390.69,Home,Credit Card,16.3,3.6,12,0,2025-08-17,Platinum,No,3731.7816666666663,middle_aged,2025,8
134,C148654,19.0,female,Jaipur,High School,31195.0,8.0,18174.11,Books,Upi,1.9,2.9,12,3,2024-10-14,Silver,No,2271.76375,young,2024,10
135,C175736,30.0,female,Mohali,Bachelor,68006.0,7.0,8802.64,Grocery,Net Banking,14.9,4.1,19,2,2025-09-13,Gold,No,1257.52,adult,2025,9
136,C190562,48.0,female,Hyderabad,PhD,15147.0,12.0,24206.14,Electronics,Cash,20.4,3.4,23,5,2024-06-23,Basic,No,2017.1783333333333,middle_aged,2024,6
137,C117269,22.0,male,Kolkata,Master,79723.0,8.0,17331.69,Electronics,Wallet,9.9,4.6,20,3,2024-05-24,Gold,No,2166.46125,young,2024,5
138,C166668,52.0,female,Hyderabad,Master,38639.0,9.0,24854.04,Books,Wallet,5.7,3.1,20,3,2025-12-23,Basic,No,2761.56,middle_aged,2025,12
139,C167053,48.0,female,Pune,Master,51514.0,11.0,12401.6,Clothing,Net Banking,13.2,5.0,21,4,2025-09-07,Gold,No,1127.418181818182,middle_aged,2025,9
140,C136417,31.0,male,Chennai,Diploma,57671.0,8.0,9266.18,Sports,Wallet,3.9,2.5,18,2,2025-10-09,Silver,No,1158.2725,adult,2025,10
141,C149562,35.0,male,Jaipur,Bachelor,36725.0,7.0,13143.8,Grocery,Upi,13.3,3.7,18,2,2024-04-18,Gold,Yes,1877.685714285714,adult,2024,4
142,C126588,23.0,male,Mumbai,Master,83712.0,7.0,8519.64,Beauty,Credit Card,18.8,3.7,19,2,2026-07-14,Basic,Yes,1217.0914285714284,young,2026,7
143,C117083,44.0,female,Bangalore,Master,35073.0,6.0,12410.21,Electronics,Debit Card,12.8,4.5,18,0,2024-09-08,Silver,No,2068.3683333333333,middle_aged,2024,9
144,C183529,36.0,male,panipat,High School,39338.0,7.0,25371.55,Sports,Credit Card,28.3,3.8,16,2,2025-09-03,Silver,No,3624.5071428571428,adult,2025,9
145,C134146,40.0,male,panipat,Master,78089.0,8.0,12613.19,Clothing,Net Banking,12.0,3.4,20,1,2025-07-03,Basic,No,1576.64875,middle_aged,2025,7
146,C169355,31.0,male,Mohali,High School,55819.0,12.0,11807.58,Beauty,Debit Card,5.9,2.9,17,2,2025-12-02,Gold,No,983.965,adult,2025,12
147,C163717,23.0,male,panipat,Bachelor,54496.0,6.0,9152.73,Books,Cash,7.0,2.9,16,1,2025-04-17,Gold,No,1525.455,young,2025,4
148,C140117,44.0,female,Bangalore,Bachelor,72110.0,7.0,9540.0,Books,Net Banking,28.6,2.5,17,2,2025-07-30,Basic,No,1362.857142857143,middle_aged,2025,7
149,C133359,18.0,female,Kolkata,High School,83286.0,6.0,0.0,Books,unknown,15.3,5.0,20,1,2025-09-18,Silver,Yes,0.0,young,2025,9
150,C159087,39.0,female,Pune,Bachelor,56512.0,5.0,10991.74,Electronics,Net Banking,8.0,3.8,28,1,2025-08-24,Silver,No,2198.348,adult,2025,8
151,C129309,28.0,male,Chennai,Bachelor,64607.0,8.0,15630.94,Beauty,Credit Card,9.9,3.7,12,1,2025-07-19,Silver,No,1953.8675,adult,2025,7
152,C102340,43.0,male,Bangalore,Bachelor,54237.0,8.0,20269.77,Grocery,Wallet,24.5,4.6,16,5,2025-10-01,Silver,No,2533.72125,middle_aged,2025,10
153,C118814,43.0,female,Mumbai,Diploma,19948.0,10.0,10093.53,Beauty,Upi,1.2,3.0,19,6,2024-09-27,Basic,Yes,1009.3530000000001,middle_aged,2024,9
154,C146485,35.0,male,Chennai,Master,37336.0,8.0,12978.09,Sports,Debit Card,8.5,2.9,22,0,2025-06-26,Silver,No,1622.26125,adult,2025,6
155,C135440,38.0,male,Chandigarh,Diploma,47475.0,9.0,18186.36,Grocery,Credit Card,0.0,4.4,14,1,2025-11-16,Basic,No,2020.7066666666667,adult,2025,11
156,C146726,19.0,female,Mumbai,Bachelor,29209.0,6.0,3516.84,Clothing,Cash,18.7,3.9,14,3,2024-09-01,Silver,No,586.14,young,2024,9
157,C164363,35.0,female,Delhi,Diploma,47365.0,10.0,34501.58,Sports,Upi,15.3,3.7,21,1,2026-02-19,Gold,Yes,3450.1580000000004,adult,2026,2
158,C117347,25.0,female,Hyderabad,Master,56032.0,3.0,6560.72,Home,Wallet,12.4,4.0,18,4,2024-05-25,Basic,No,2186.9066666666668,adult,2024,5
